,Brand,Devices
0,Acer,100
1,alcatel,409
2,Allview,157
3,Amazon,25
4,Amoi,47
5,Apple,118
6,Archos,43
7,Asus,200
8,AT&T,4
9,Benefon,9
10,BenQ,35
11,BenQ-Siemens,28
12,Bird,61
13,BlackBerry,92
14,Blackview,81
15,BLU,369
16,Bosch,10
17,BQ,20
18,Casio,5
19,Cat,22
20,Celkon,229
21,Chea,12
22,Coolpad,44
23,Cubot,57
24,Dell,20
25,Doogee,66
26,Emporia,15
27,Energizer,62
28,Ericsson,40
29,Eten,22
30,Fairphone,4
31,Fujitsu Siemens,2
32,Garmin-Asus,5
33,Gigabyte,63
34,Gionee,95
35,Google,27
36,Haier,59
37,Honor,193
38,HP,41
39,HTC,287
40,Huawei,436
41,i-mate,34
42,i-mobile,37
43,Icemobile,61
44,Infinix,118
45,Innostream,18
46,iNQ,5
47,Intex,15
48,itel,29
49,Jolla,3
50,Karbonn,60
51,Kyocera,24
52,Lava,141
53,LeEco,9
54,Lenovo,245
55,LG,667
56,Maxon,31
57,Maxwest,41
58,Meizu,71
59,Micromax,289
60,Microsoft,32
61,Mitac,12
62,Mitsubishi,25
63,Modu,8
64,Motorola,603
65,MWg,5
66,NEC,73
67,Neonode,3
68,NIU,30
69,Nokia,576
70,Nothing,2
71,Nvidia,3
72,O2,45
73,OnePlus,62
74,Oppo,284
75,Orange,19
76,Oukitel,30
77,Palm,17
78,Panasonic,123
79,Pantech,72
80,Parla,10
81,Philips,229
82,Plum,113
83,Posh,30
84,Prestigio,56
85,QMobile,90
86,Qtek,21
87,Razer,2
88,Realme,178
89,Sagem,120
90,Samsung,1376
91,Sendo,19
92,Sewon,25
93,Sharp,72
94,Siemens,94
95,Sonim,18
96,Sony,158
97,Sony Ericsson,188
98,Spice,120
99,T-Mobile,64
100,TCL,61
101,Tecno,127
102,Tel.Me.,7
103,Telit,30
104,Thuraya,1
105,Toshiba,35
106,Ulefone,82
107,Unnecto,30
108,Vertu,17
109,verykool,139
110,vivo,395
111,VK Mobile,31
112,Vodafone,87
113,Wiko,98
114,WND,5
115,XCute,4
116,Xiaomi,360
117,XOLO,81
118,Yezz,113
119,Yota,3
120,YU,13
121,ZTE,363
