,Brand,Link,Page Number
0,Acer,https://www.gsmarena.com/acer-phones-59.php,1
1,Acer,https://www.gsmarena.com/acer-phones-f-59-0-p2.php,2
2,Acer,https://www.gsmarena.com/acer-phones-f-59-0-p3.php,3
3,alcatel,https://www.gsmarena.com/alcatel-phones-5.php,1
4,alcatel,https://www.gsmarena.com/alcatel-phones-f-5-0-p2.php,2
5,alcatel,https://www.gsmarena.com/alcatel-phones-f-5-0-p3.php,3
6,alcatel,https://www.gsmarena.com/alcatel-phones-f-5-0-p4.php,4
7,alcatel,https://www.gsmarena.com/alcatel-phones-f-5-0-p5.php,5
8,alcatel,https://www.gsmarena.com/alcatel-phones-f-5-0-p6.php,6
9,alcatel,https://www.gsmarena.com/alcatel-phones-f-5-0-p7.php,7
10,alcatel,https://www.gsmarena.com/alcatel-phones-f-5-0-p8.php,8
11,alcatel,https://www.gsmarena.com/alcatel-phones-f-5-0-p9.php,9
12,alcatel,https://www.gsmarena.com/alcatel-phones-f-5-0-p10.php,10
13,Allview,https://www.gsmarena.com/allview-phones-88.php,1
14,Allview,https://www.gsmarena.com/allview-phones-f-88-0-p2.php,2
15,Allview,https://www.gsmarena.com/allview-phones-f-88-0-p3.php,3
16,Allview,https://www.gsmarena.com/allview-phones-f-88-0-p4.php,4
17,Amazon,https://www.gsmarena.com/amazon-phones-76.php,1
18,Amoi,https://www.gsmarena.com/amoi-phones-28.php,1
19,Amoi,https://www.gsmarena.com/amoi-phones-f-28-0-p2.php,2
20,Apple,https://www.gsmarena.com/apple-phones-48.php,1
21,Apple,https://www.gsmarena.com/apple-phones-f-48-0-p2.php,2
22,Apple,https://www.gsmarena.com/apple-phones-f-48-0-p3.php,3
23,Archos,https://www.gsmarena.com/archos-phones-90.php,1
24,Archos,https://www.gsmarena.com/archos-phones-f-90-0-p2.php,2
25,Asus,https://www.gsmarena.com/asus-phones-46.php,1
26,Asus,https://www.gsmarena.com/asus-phones-f-46-0-p2.php,2
27,Asus,https://www.gsmarena.com/asus-phones-f-46-0-p3.php,3
28,Asus,https://www.gsmarena.com/asus-phones-f-46-0-p4.php,4
29,Asus,https://www.gsmarena.com/asus-phones-f-46-0-p5.php,5
30,AT&T,https://www.gsmarena.com/at&t-phones-57.php,1
31,Benefon,https://www.gsmarena.com/benefon-phones-15.php,1
32,BenQ,https://www.gsmarena.com/benq-phones-31.php,1
33,BenQ,https://www.gsmarena.com/benq-phones-f-31-0-p2.php,2
34,BenQ-Siemens,https://www.gsmarena.com/benq_siemens-phones-42.php,1
35,Bird,https://www.gsmarena.com/bird-phones-34.php,1
36,Bird,https://www.gsmarena.com/bird-phones-f-34-0-p2.php,2
37,Bird,https://www.gsmarena.com/bird-phones-f-34-0-p3.php,3
38,BlackBerry,https://www.gsmarena.com/blackberry-phones-36.php,1
39,BlackBerry,https://www.gsmarena.com/blackberry-phones-f-36-0-p2.php,2
40,BlackBerry,https://www.gsmarena.com/blackberry-phones-f-36-0-p3.php,3
41,Blackview,https://www.gsmarena.com/blackview-phones-116.php,1
42,Blackview,https://www.gsmarena.com/blackview-phones-f-116-0-p2.php,2
43,Blackview,https://www.gsmarena.com/blackview-phones-f-116-0-p3.php,3
44,BLU,https://www.gsmarena.com/blu-phones-67.php,1
45,BLU,https://www.gsmarena.com/blu-phones-f-67-0-p2.php,2
46,BLU,https://www.gsmarena.com/blu-phones-f-67-0-p3.php,3
47,BLU,https://www.gsmarena.com/blu-phones-f-67-0-p4.php,4
48,BLU,https://www.gsmarena.com/blu-phones-f-67-0-p5.php,5
49,BLU,https://www.gsmarena.com/blu-phones-f-67-0-p6.php,6
50,BLU,https://www.gsmarena.com/blu-phones-f-67-0-p7.php,7
51,BLU,https://www.gsmarena.com/blu-phones-f-67-0-p8.php,8
52,BLU,https://www.gsmarena.com/blu-phones-f-67-0-p9.php,9
53,BLU,https://www.gsmarena.com/blu-phones-f-67-0-p10.php,10
54,Bosch,https://www.gsmarena.com/bosch-phones-10.php,1
55,BQ,https://www.gsmarena.com/bq-phones-108.php,1
56,Casio,https://www.gsmarena.com/casio-phones-77.php,1
57,Cat,https://www.gsmarena.com/cat-phones-89.php,1
58,Celkon,https://www.gsmarena.com/celkon-phones-75.php,1
59,Celkon,https://www.gsmarena.com/celkon-phones-f-75-0-p2.php,2
60,Celkon,https://www.gsmarena.com/celkon-phones-f-75-0-p3.php,3
61,Celkon,https://www.gsmarena.com/celkon-phones-f-75-0-p4.php,4
62,Celkon,https://www.gsmarena.com/celkon-phones-f-75-0-p5.php,5
63,Celkon,https://www.gsmarena.com/celkon-phones-f-75-0-p6.php,6
64,Chea,https://www.gsmarena.com/chea-phones-24.php,1
65,Coolpad,https://www.gsmarena.com/coolpad-phones-105.php,1
